game,mode,matches,ok,failed,mean_score,std_score,win_rate
are_you_the_traitor,high_reasoning,6,6,0,1.0,0.0,1.0
codenames,high_reasoning,5,5,0,0.4,0.4898979485566356,0.4
santorini,high_reasoning,6,6,0,0.16666666666666666,0.37267799624996495,0.16666666666666666
